Zone BACK Infiltration Hybrid Model Air Change Rate solved with T,Zone CORE Infiltration Hybrid Model Air Change Rate solved with T,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with T,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with T,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with T,Zone BACK Infiltration Hybrid Model Air Change Rate solved with CO2,Zone CORE Infiltration Hybrid Model Air Change Rate solved with CO2,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with CO2,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
0,0.019539118,0.006662528,0,0,0.146842395,0.146332441,0.146701989,0.146874346,0.146840736,0,0,0,0,0
0,0.023525462,0.01115475,0.000215695,0,0.147693459,0.14726241,0.147558507,0.147711894,0.147695993,0,0,0,0,0
0.008005545,0.033627803,0.026751514,0.010906376,0.007191689,0.147161332,0.146774932,0.147019426,0.147154997,0.147165731,0,0,0,0,0
0.020194237,0.044967175,0.038124096,0.025002289,0.019219982,0.14622199,0.145866383,0.146091377,0.146203284,0.146226578,0,0,0,0,0
0.025728331,0.04806028,0.039583233,0.035285435,0.024897465,0.073236632,0.072847957,0.073100586,0.073208429,0.073241304,0,0,0,0,0
0,0,0,0,0,0.072576494,0.072276381,0.072478407,0.072556824,0.072579302,0,0,0,0,0
0.013306407,0.008574952,0.01216121,0.013133291,0.013311855,0.000645824,0.000663523,0.000653814,0.000647594,0.000645413,0,0,0,0,0
0,0,0,0,0,4.96E-15,4.30E-15,4.41E-15,4.44E-16,1.76E-15,0,0,0,0,0
0,0,0,0,0,3.82E-15,4.87E-15,3.28E-15,4.45E-16,8.76E-16,0,0,0,0,0
0,0,0,0,0,3.31E-15,4.30E-15,1.65E-15,0,8.88E-16,0,0,0,0,0
0,0,0,0,0,4.88E-15,4.23E-15,2.72E-15,0,8.79E-16,0,0,0,0,0
0.007878112,0.008779743,0.008607183,0.007904191,0.007838031,3.25E-15,3.62E-15,2.18E-15,0,1.72E-15,0,0,0,0,0
0,0,0,0,0,3.80E-15,4.22E-15,2.71E-15,4.29E-16,1.29E-15,0,0,0,0,0
0,0,0,0,0,3.23E-15,2.41E-15,2.70E-15,0,1.30E-15,0,0,0,0,0
0,0,0,0,0,3.23E-15,4.80E-15,2.17E-15,0,2.15E-15,0,0,0,0,0
0,0,0,0,0,3.73E-15,4.73E-15,1.60E-15,8.46E-16,1.27E-15,0,0,0,0,0
0,0,0,0,0,0.000156175,0,7.06E-05,0.000139253,0.000158358,0,0,0,0,0
0,0,0,0,0,0.070124619,0.069973483,0.070081891,0.070115533,0.07012541,0,0,0,0,0
0,0,0,0,0,0.070497496,0.070324566,0.070464727,0.070488458,0.070500038,0,0,0,0,0
0,0,0,0,0,0.070438654,0.070269494,0.070401409,0.070430551,0.070425254,0,0,0,0,0
0,0,0,0,0,0.070628649,0.070459231,0.070567175,0.07062127,0.070593287,0,0,0,0,0
0,0,0,0,0,0.071136692,0.070961488,0.071036611,0.071130834,0.071082389,0,0,0,0,0
0,0,0,0,0,0.071712036,0.071525751,0.071575129,0.071708632,0.071654969,0,0,0,0,0
0,0,0,0,0,0.071992717,0.071796405,0.071820007,0.071992154,0.071943673,0,0,0,0,0
0,0.004400641,0.013459714,0,0,0.072458198,0.072243039,0.072198521,0.072460615,0.072423636,0,0,0,0,0
0,0.018848809,0.042474327,0.002432088,0,0.073020166,0.07279559,0.072705279,0.072996072,0.072991165,0,0,0,0,0
0.002569788,0.035034172,0.068957626,0.009492545,0.004332159,0.072861742,0.072630773,0.07253191,0.072808786,0.072833351,0,0,0,0,0
0.025413156,0.061360273,0.088923151,0.047814679,0.028787334,0.07276457,0.072538046,0.072445242,0.072678476,0.072737099,0,0,0,0,0
0.02211275,0.055914022,0.078216036,0.061938885,0.026990432,0.072549347,0.072329499,0.072260785,0.07245562,0.072520776,0,0,0,0,0
0.041030773,0.036531915,0.037873769,0.043039507,0.039282812,0.000144683,0.000146822,0.000151392,0.000146904,0.000144473,0,0,0,0,0
0.012743699,0.010841362,0.012701498,0.012300523,0.012493738,0,5.78E-16,1.07E-15,0,0,0,0,0,0,0
0.010116807,0.010340699,0.009935425,0.009569764,0.009900246,1.05E-15,1.18E-15,1.06E-15,4.16E-16,4.23E-16,0,0,0,0,0
0,0,0,0,0,5.26E-16,2.94E-15,1.59E-15,1.27E-15,0,0,0,0,0,0
0,0,0,0,0,0,1.18E-15,5.30E-16,4.25E-16,0,0,0,0,0,0
0,0,0,0,0,5.24E-16,2.34E-15,5.31E-16,8.50E-16,0,0,0,0,0,0
2.825693038,2.860023126,2.821284091,2.818284605,2.820347615,2.684087842,2.684392127,2.684271094,2.684192357,2.684138112,2.602228121,2.605008892,2.608054006,2.604594505,2.603631018
2.542693936,2.53394197,2.544737336,2.544768275,2.544332006,2.917162616,2.918203494,2.919829219,2.918308502,2.917834963,2.593098095,2.595025842,2.598432352,2.595404763,2.594454738
2.527582176,2.52401371,2.528863047,2.528594005,2.528353108,3.265137657,3.250538528,3.233058007,3.251487396,3.257185966,2.598963789,2.600804612,2.603987788,2.601183608,2.600257779
2.587894792,2.588030363,2.587755935,2.587326133,2.587524925,5.30843917,5.308739349,5.309371038,5.308867293,5.308689651,2.608001223,2.609417513,2.612784012,2.610199,2.609292133
2.497439984,2.493449451,2.499870162,2.499120495,2.498574652,5.638090384,5.638321014,5.638889831,5.638466158,5.638312063,2.60703937,2.608296866,2.611541479,2.609163748,2.608294119
2.087650623,2.099069049,2.120557014,2.103369761,2.096933731,2.493085679,2.492964033,2.492595143,2.492854418,2.492947927,2.607887775,2.609805501,2.611941227,2.60974444,2.60895606
2.110296861,2.123353521,2.138866162,2.123758413,2.118091438,2.551708526,2.551419744,2.551158998,2.551458337,2.551565381,2.611427781,2.613340075,2.615232052,2.613187615,2.612426646
0.300046828,0.311977965,0.31938999,0.31068804,0.302585999,0.849354756,0.84949432,0.849390646,0.849346931,0.849385255,0.791416098,0.79286997,0.792621745,0.791877221,0.791735871
0.389881327,0.414194445,0.407280917,0.398216538,0.394720455,1.069678094,1.069748071,1.069733803,1.069698904,1.069699104,0.792190489,0.794199955,0.793843655,0.792635198,0.793033285
0.442440618,0.479150675,0.46047261,0.451009182,0.453347657,1.174570182,1.17453354,1.174520295,1.174568729,1.17455559,0.78866398,0.790951975,0.791253768,0.78909087,0.790005122
0.444890496,0.483964116,0.478128481,0.453009008,0.475501255,1.158821226,1.158797772,1.158788821,1.158824789,1.158834304,0.786617263,0.789194541,0.790744959,0.787011814,0.788096448
0.501183826,0.545728695,0.556172445,0.508214808,0.538984093,1.183626557,1.183601681,1.183593527,1.183626347,1.183638171,0.783732804,0.786645913,0.789334608,0.784116067,0.784649964
0.568269669,0.620974146,0.651810069,0.573826085,0.582251074,1.205232736,1.205232643,1.205279637,1.205229441,1.205213421,0.782417049,0.785710675,0.789147354,0.782802616,0.782935837
0.643469239,0.692909322,0.739542642,0.64179234,0.650179011,1.102404141,1.102445823,1.102496244,1.102494947,1.102392846,0.783561084,0.787144626,0.79078226,0.784239199,0.784034917
0.675514063,0.72395782,0.776972973,0.685222562,0.682774848,1.204191216,1.204110847,1.204041269,1.204294052,1.204197615,0.782338204,0.785767353,0.789364358,0.783997815,0.782893642
0.695636189,0.742889132,0.806308682,0.726224112,0.704806733,1.181057806,1.181078344,1.181098009,1.181027375,1.181057967,0.78056692,0.783669724,0.78667485,0.782961246,0.781172691
0.72114803,0.759890628,0.819572417,0.765352735,0.730338645,1.167023126,1.167029075,1.167050438,1.167032516,1.167024099,0.781945989,0.784890263,0.786658316,0.784161008,0.782549094
0.790976139,0.83046971,0.858312276,0.837061108,0.798341417,1.198872223,1.19886007,1.198859684,1.198873878,1.198865051,0.780760699,0.783138569,0.78424182,0.782009535,0.781361254
0.70628123,0.735503175,0.759900018,0.726389773,0.715911678,0.909844334,0.908480189,0.907804545,0.909115962,0.909523593,0.780298283,0.782354919,0.78355533,0.781241202,0.780878772
2.489189779,2.530443848,2.549925463,2.506181065,2.499243158,2.629847924,2.628160596,2.626642748,2.628809868,2.62925711,2.589036944,2.592846817,2.598687431,2.592072484,2.591048866
2.219206331,2.238757464,2.293612203,2.245940724,2.237359599,2.7261482,2.725797343,2.725214157,2.725846367,2.725951412,2.585129207,2.588500105,2.594237646,2.58813815,2.5870697
2.215225123,2.238014524,2.283552537,2.239855884,2.231091947,2.636235932,2.63583449,2.635251725,2.6359159,2.636030529,2.588892902,2.592201371,2.597664068,2.591889954,2.590747921
2.195557756,2.215676826,2.25992815,2.21964649,2.210578423,2.284557548,2.283439059,2.28143285,2.283465949,2.28389034,2.594455993,2.597320122,2.60294399,2.597487335,2.596291877
2.127635571,2.148702828,2.196859577,2.154456129,2.144037436,2.75908633,2.758933504,2.758590219,2.758906139,2.75897682,2.59108492,2.593802458,2.599181342,2.594058581,2.592848941
2.574524453,2.572714267,2.567868679,2.571322642,2.572581427,6.901216185,6.908899464,6.924536001,6.909809529,6.906282907,2.589619036,2.591975788,2.597719285,2.592715019,2.591445989
2.516215397,2.513995353,2.518136803,2.516993622,2.516774529,6.954883634,6.955062194,6.955778369,6.955248895,6.955098865,2.595158068,2.597181271,2.602974097,2.598245589,2.596980235
2.467976632,2.465211745,2.473484827,2.470819934,2.469801792,5.991885859,5.99192043,5.991957588,5.991913651,5.991901375,2.589230541,2.59129098,2.596647959,2.592185869,2.590966822
2.490381556,2.48992944,2.49404289,2.49182067,2.491372128,5.134605283,5.134956988,5.135578289,5.134991232,5.134826911,2.586067257,2.588330491,2.593112335,2.588871379,2.58769387
2.515773798,2.515504628,2.517567028,2.516316839,2.5160872,4.304522508,4.305151861,4.306536023,4.305331743,4.304990592,2.592768546,2.594748575,2.599524612,2.595522657,2.594362529
