S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
0.502916301,0.503319524,0.503280741,0.502962729,0.50295285,0.768229794,0.771866069,0.773643926,0.768841993,0.768756044
1.047363635,0.970903284,1.047382601,1.047453845,1.047378866,0.765381298,0.768801541,0.770259033,0.766344076,0.765923328
1.121971342,1.048014106,1.121581376,1.12194522,1.121963621,0.766715158,0.769815017,0.770549775,0.767543969,0.767284439
0.404487464,0.412085104,0.404756008,0.404535988,0.404585838,0.770183616,0.773133492,0.773423068,0.770885673,0.770777624
1.18427451,1.104846582,1.183793931,1.184195723,1.184217705,0.769009214,0.771509396,0.771799222,0.769610414,0.76963417
0.823859642,0.800088032,0.822791167,0.823630949,0.823630271,0.765709414,0.767854741,0.768327114,0.766282879,0.766346826
2.51553871,2.499750052,2.512155462,2.514696399,2.514680565,2.537373085,2.542238658,2.544929695,2.538922866,2.539082784
1.721661977,1.606759982,1.72036793,1.721390968,1.721357318,2.539081063,2.543526643,2.546286802,2.540582681,2.540716614
2.342539829,2.223307188,2.34138997,2.342252203,2.342266619,2.54272172,2.546891029,2.549676118,2.544236507,2.544352022
0.784790568,1.138509839,0.782765526,0.784323277,0.784277786,2.53422671,2.538130592,2.54078157,2.535679137,2.535775867
6.484470075,6.610921018,6.484682858,6.484306191,6.484375604,2.522215514,2.526241339,2.528332227,2.523598839,2.523676277
4.355203101,4.207895053,4.356464659,4.355694468,4.355310699,2.521485118,2.525798845,2.527557382,2.522846119,2.522926032
3.552830891,6.288464681,3.553412417,3.552702539,3.552922122,2.523724436,2.528014481,2.529544311,2.5249976,2.525073807
3.311108883,4.090864319,3.311221124,3.310983311,3.310997702,2.528279694,2.532332946,2.53388101,2.529460315,2.529529491
4.002048228,2.313346866,4.000690192,4.001606772,4.001640384,2.53129925,2.535110265,2.536665727,2.532415941,2.532488285
4.316943568,4.693458729,4.315342823,4.316430523,4.316454863,2.536943665,2.540606037,2.542138445,2.538061644,2.538136489
2.326424555,2.468664443,2.317535958,2.324452282,2.324061725,2.540267846,2.543738843,2.544962954,2.541285971,2.541355392
1.387171992,1.356442097,1.387397392,1.38721923,1.387215982,2.541458031,2.544909514,2.545854587,2.542396791,2.542462995
0.493548329,0.433313218,0.493627202,0.493568429,0.493568609,0.766869547,0.768521425,0.768279601,0.767173151,0.767205277
0.628149024,0.574238495,0.628158464,0.628151629,0.62815986,0.772841339,0.775098697,0.774335593,0.773113121,0.773183059
1.078729311,0.961302603,1.078649265,1.078714919,1.078730198,0.776156769,0.778481281,0.777734186,0.776405705,0.776563294
0.595048376,0.589356407,0.595202788,0.595068272,0.595083622,0.779528434,0.781872371,0.781206884,0.779758976,0.779951906
1.112305036,0.979682044,1.112176942,1.112284539,1.11229123,0.781547327,0.783840993,0.783215323,0.781768545,0.781918769
0.937126744,0.802914479,0.936864357,0.937097988,0.937087125,0.781971295,0.78422877,0.783580437,0.782196112,0.78228355
0.576080623,0.553477652,0.576174641,0.576096873,0.57609416,0.784343602,0.78676505,0.785958047,0.78460442,0.784621542
1.044171132,0.96783831,1.044071079,1.044183779,1.044162783,0.785038718,0.787224952,0.786580871,0.785394128,0.785307992
1.03954537,0.947283449,1.039463726,1.039555951,1.039539867,0.784501563,0.786527982,0.785938651,0.784924712,0.784763184
0.446219416,0.44172985,0.44647745,0.446277394,0.446266725,0.783486434,0.785521822,0.784743174,0.783870331,0.783736973
1.216696114,1.125326893,1.216517961,1.216644024,1.216634914,0.781192555,0.782979282,0.782325511,0.781480945,0.781441957
0.689327382,0.703807376,0.688689247,0.68916089,0.689174337,0.778962842,0.7805258,0.780053582,0.779237207,0.779229122
2.47908021,2.465938153,2.477549164,2.478748755,2.478762911,2.575071128,2.577590869,2.578225113,2.576024063,2.576011046
2.366605631,2.066357139,2.365926662,2.366442555,2.366448405,2.568918773,2.571203673,2.57179505,2.569793386,2.569774545
1.855480866,1.860873227,1.854847456,1.855317374,1.855308655,2.56913725,2.571426629,2.571823119,2.569945012,2.569917599
2.602973877,2.431152815,2.602255468,2.602778544,2.602784304,2.57257911,2.574516509,2.57511071,2.573374467,2.573336513
2.770057402,2.616190516,2.769361355,2.76990314,2.769897354,2.572877254,2.574659253,2.575252387,2.573645966,2.573604949
2.718878493,4.234079748,2.717505874,2.718470605,2.718538919,2.565528705,2.567292,2.56785401,2.566288402,2.566240754
3.575173217,1.664122557,3.564398885,3.570767544,3.572552618,2.56462258,2.566429169,2.56681529,2.565331294,2.565276284
2.459127801,1.48588161,2.45871953,2.458653782,2.458792257,2.564628745,2.566357173,2.566685538,2.565299291,2.56524063
3.715480291,4.49457248,3.71511191,3.715387792,3.715371284,2.562765251,2.564488346,2.564690439,2.563388894,2.563328994
4.476623891,3.627402783,4.47624096,4.476499514,4.476556827,2.564380102,2.566058902,2.566181433,2.564965861,2.56490658
3.054077014,2.955564129,3.051344844,3.053549531,3.053200309,2.56670637,2.568567452,2.568306227,2.567203757,2.567148187
1.697931524,1.556897953,1.697946933,1.697943643,1.697906313,2.56651885,2.568440951,2.567998636,2.566967085,2.566915121
0.262194221,0.216209421,0.262418281,0.262260497,0.262250674,0.774067763,0.77533014,0.774544797,0.774162794,0.774175435
1.009307167,0.758391669,1.009615063,1.00936729,1.009374281,0.776714929,0.778457901,0.777309125,0.776773457,0.776896389
0.090935162,0.111611059,0.091266333,0.090957557,0.091021621,0.780306993,0.782259699,0.781033475,0.780333517,0.780525992
0.609986295,0.584335276,0.610378806,0.609994972,0.610087271,0.783203977,0.785201879,0.784088841,0.783211336,0.783428938
1.004932766,0.872521746,1.005112232,1.004927514,1.004970754,0.78401817,0.78606935,0.785357641,0.784015323,0.784233859
0.952647435,0.823202778,0.952558764,0.95265118,0.952638531,0.784630738,0.786843901,0.786035469,0.784638347,0.784731486
0.565478878,0.558946879,0.565523101,0.565483455,0.565476194,0.786005397,0.788325947,0.787226927,0.786077908,0.786061452
0.912751281,0.872424859,0.912794967,0.912773511,0.912754881,0.785388395,0.787551002,0.786504696,0.785551874,0.785439602
0.682197731,0.706837452,0.682285878,0.682220072,0.682206654,0.783973178,0.785929081,0.784855233,0.784122721,0.784034724
1.037937954,0.903912147,1.037888532,1.037961537,1.037947881,0.78333932,0.785243664,0.784058958,0.783492517,0.783420243
0.772459918,0.794534481,0.772274455,0.772412916,0.772425538,0.781832667,0.783523528,0.782450335,0.781934302,0.781921857
0.824924845,0.79723993,0.824723031,0.824880104,0.824880267,0.779371014,0.780841088,0.779982666,0.779469513,0.779482315
