Date/Time,CORE_ZN ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_1 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_2 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_3 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_4 ZN:Zone People Occupant Count [](Hourly),ATTIC ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_1 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_2 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_3 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_4 ZN:Zone Infiltration Air Change Rate [ach](Hourly) 
 01/06  14:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0295677572384328,0.26222318332473745,0.04896513403352628,0.043571906332989827,0.04896466252293835 
 01/06  15:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0254250180853706,0.26020153686221877,0.046443810307243978,0.0413294162642486,0.046443077356556099 
 01/06  16:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0218913110116826,0.2549414267606888,0.04009342635028899,0.035677948643841567,0.0400928871597313 
 01/06  17:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.015024040835007,0.26441867404883409,0.0493685949057752,0.043931068260913478,0.049368082520955539 
 01/06  18:00:00,2.8867307334614655,2.188328821102085,1.2981448185118588,2.1883288211020859,1.2981448185118588,1.0034780948446025,1.582316818501295,0.051612931689385698,0.045926996516220338,0.05161277866285649 
 01/06  19:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9980382201726318,0.2784705938527233,0.062370453656936549,0.05549688942810532,0.0623710455673356 
 01/06  20:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.993420698602363,0.2383007284040227,0.2678169506879831,0.2384141976622748,0.2678016800478431 
 01/06  21:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9925948836038786,0.16214061534492353,0.1822229145709963,0.16223985523319513,0.18220129228547908 
 01/06  22:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9895608798790953,0.1804044308297792,0.20270083825631847,0.18051732685874304,0.20266803655286928 
 01/06  23:00:00,0.4510516771033539,0.3419263782972008,0.2028351278924779,0.34192637829720087,0.2028351278924779,0.9867473401039671,0.2253519921790308,0.25314768453323158,0.22548452080779594,0.25310026123038617 
 01/06  24:00:00,0.0,0.0,0.0,0.0,0.0,0.9888472249696596,0.24125410731291856,0.27094237890999225,0.2413973054599898,0.270910407139669 
 01/07  01:00:00,0.0,0.0,0.0,0.0,0.0,0.9893083074625616,0.23666165823791084,0.26576916099870726,0.23680818109782129,0.2657199835352116 
 01/07  02:00:00,0.0,0.0,0.0,0.0,0.0,0.9888817915345655,0.20919092461840606,0.2349094722953644,0.20932885221382947,0.23486061981228113 
 01/07  03:00:00,0.0,0.0,0.0,0.0,0.0,0.989191872211546,0.18195011760876965,0.20431500616062435,0.1820749046153807,0.2042708314825373 
 01/07  04:00:00,0.0,0.0,0.0,0.0,0.0,0.9893264215981246,0.2027811604799993,0.22769687950597893,0.20293149814023862,0.2276455236089643 
 01/07  05:00:00,0.0,0.0,0.0,0.0,0.0,0.9895955826297552,0.19376509207859064,0.217567776047168,0.19391890614382713,0.2175169087551493 
 01/07  06:00:00,0.0,0.0,0.0,0.0,0.0,0.9911519393431254,0.17126736005223379,0.19230430662122545,0.17140829392261293,0.192258811581672 
 01/07  07:00:00,0.0,0.0,0.0,0.0,0.0,0.9912966823122916,0.13938225643598343,0.15650485103950052,0.1395043948487923,0.15646750474039526 
 01/07  08:00:00,0.0,0.0,0.0,0.0,0.0,0.988150809826808,0.037158664465125248,0.041744268229885837,0.03715134982214522,0.041671528395871928 
 01/07  09:00:00,0.0,0.0,0.0,0.0,0.0,0.9919208068833002,0.0595773920987517,0.06692890666095683,0.05927524761726527,0.06649354193562261 
 01/07  10:00:00,0.0,0.0,0.0,0.0,0.0,1.009682280387702,0.07940461857277879,0.08890652477554489,0.07849501706889951,0.08807910692054555 
 01/07  11:00:00,0.0,0.0,0.0,0.0,0.0,1.0299648710233463,0.08908375122825248,0.09915712035368231,0.08752854260844112,0.09826386483172306 
