Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/07  13:00:00,1.240603295,1.010576796,1.24055977,1.240638576,1.240597997
 01/07  14:00:00,1.003963004,0.886813015,1.003970566,1.003953533,1.003962513
 01/07  15:00:00,1.502455603,1.309189722,1.50238931,1.502508142,1.502443781
 01/07  16:00:00,1.557196696,1.341658267,1.557181463,1.557251798,1.557198996
 01/07  17:00:00,0.894229904,0.79165594,0.89437649,0.894253172,0.894259958
 01/07  18:00:00,1.387639116,1.257582113,1.387594164,1.387674418,1.387617809
 01/07  19:00:00,0.803625066,0.782357206,0.803106609,0.803510662,0.803515136
 01/07  20:00:00,2.84189633,2.696031051,2.840978651,2.841734295,2.841758
 01/07  21:00:00,2.836972051,2.385032484,2.83681086,2.836947743,2.836986735
 01/07  22:00:00,2.465810246,2.292670641,2.4655661,2.465760717,2.465770494
 01/07  23:00:00,2.91889788,2.687833626,2.918811505,2.91889139,2.91893584
 01/07  24:00:00,2.998402535,2.818768328,2.998428368,2.998480838,2.998512882
 01/08  01:00:00,2.742874873,4.258873399,2.74218164,2.74268851,2.742798336
 01/08  02:00:00,3.606612192,1.67417018,3.596674513,3.602484362,3.604332782
 01/08  03:00:00,2.481151697,1.494882964,2.481396747,2.480903005,2.481072247
 01/08  04:00:00,3.748691779,4.540900796,3.749327105,3.74896238,3.74898735
 01/08  05:00:00,4.502320181,3.659428331,4.502702955,4.502477326,4.502566207
 01/08  06:00:00,3.080600868,2.968167823,3.078701444,3.080403847,3.080080916
 01/08  07:00:00,2.507336992,2.105035351,2.507229923,2.507330731,2.507302881
 01/08  08:00:00,0.553611665,0.450343778,0.553561683,0.553573415,0.553572016
 01/08  09:00:00,1.946773893,1.390629897,1.946683054,1.946715578,1.946683119
 01/08  10:00:00,0.518440968,0.470034457,0.518790308,0.518388315,0.518454939
 01/08  11:00:00,1.04622869,0.929447202,1.046527777,1.046235084,1.046309587
 01/08  12:00:00,1.427371369,1.205171791,1.427564026,1.427424315,1.42743406
 01/08  13:00:00,1.230962608,1.018682657,1.231149348,1.231046664,1.231010046
 01/08  14:00:00,1.080059119,0.923222679,1.079984819,1.080025964,1.080046468
 01/08  15:00:00,1.384967617,1.219889569,1.384963032,1.385016903,1.38497342
 01/08  16:00:00,1.119266195,1.051923898,1.119321951,1.119296807,1.119274458
 01/08  17:00:00,1.477383912,1.249040974,1.477297146,1.477449531,1.477400243
 01/08  18:00:00,0.9672758,0.939504222,0.967079347,0.967268641,0.967254275
 01/08  19:00:00,0.924580846,0.869444268,0.924333472,0.924575546,0.924564347
 01/08  20:00:00,3.078975141,2.903752406,3.078546404,3.079013252,3.07903066
 01/08  21:00:00,2.622636746,2.226962421,2.622325509,2.622634181,2.622627257
 01/08  22:00:00,1.883001941,1.874606525,1.882962406,1.88298025,1.882977162
 01/08  23:00:00,2.94142494,2.601758424,2.94115881,2.941433224,2.941460079
 01/08  24:00:00,3.630465781,0.249190876,3.631268531,3.630790626,3.630791161
 01/09  01:00:00,2.227042999,2.912444323,2.226994944,2.227163845,2.227159314
 01/09  02:00:00,3.134225412,0.021118285,3.13403531,3.134248495,3.134730982
 01/09  03:00:00,4.480144747,2.887575169,4.480172393,4.48028464,4.480287174
 01/09  04:00:00,3.384959705,0.413182197,3.380890078,3.384647903,3.384656064
 01/09  05:00:00,3.283569726,8.023766511,3.283748033,3.28368175,3.283696066
 01/09  06:00:00,4.412766412,0.713710464,4.413040464,4.412186781,4.412201051
 01/09  07:00:00,2.337268457,2.010656414,2.337262101,2.337279872,2.337283167
 01/09  08:00:00,0.599856819,0.488675574,0.599840756,0.599824478,0.599810065
 01/09  09:00:00,1.702228331,1.293350298,1.702202866,1.702193749,1.702171796
 01/09  10:00:00,1.030559291,0.8674472,1.03072315,1.030519114,1.030561071
 01/09  11:00:00,1.195236751,1.038959295,1.195352552,1.195231665,1.195264407
 01/09  12:00:00,1.05956195,0.919812626,1.05967957,1.059557927,1.059573426
 01/09  13:00:00,1.369359426,1.102135181,1.369461647,1.369425986,1.369400773
 01/09  14:00:00,1.105844571,0.944929001,1.105829415,1.105827937,1.105838802
 01/09  15:00:00,1.039815482,0.9740824,1.039839114,1.039828601,1.039815197
 01/09  16:00:00,1.637048803,1.431061854,1.637023929,1.637143599,1.637077269
 01/09  17:00:00,1.491378549,1.237949447,1.491289906,1.491422737,1.491403018
 01/09  18:00:00,0.700398799,0.754823471,0.700256101,0.700390306,0.700411488
 01/09  19:00:00,0.909901834,0.856795596,0.909723207,0.909897815,0.909902256
 01/09  20:00:00,3.011317083,2.833444043,3.01094288,3.01130345,3.01135401
 01/09  21:00:00,2.349871297,1.971695024,2.349674908,2.34983889,2.349859787
 01/09  22:00:00,1.766461127,1.816919212,1.766627655,1.766447731,1.766414201
 01/09  23:00:00,3.139637933,2.811234239,3.139405222,3.139650072,3.139704088
 01/09  24:00:00,1.251777851,1.412449351,1.251788958,1.251677164,1.251638289
 01/10  01:00:00,0,2.716634095,0,1.23E-14,2.77E-14
 01/10  02:00:00,3.31E-15,0.300633765,0,1.31E-14,1.31E-14
 01/10  03:00:00,0,0.163105384,0,5.92E-15,8.85E-15
 01/10  04:00:00,0,0.062899577,0,2.42E-15,5.61E-15
 01/10  05:00:00,0,0.04360748,0,1.74E-15,1.76E-15
 01/10  06:00:00,0.074498223,0.00794939,0.07448571,0.074498823,0.074500425
 01/10  07:00:00,0.23634851,0.213445632,0.236304069,0.236373389,0.236380459
 01/10  08:00:00,0.223047892,0.242869318,0.222994615,0.223081423,0.223103879
 01/10  09:00:00,1.073299936,1.854318849,1.073798363,1.073284589,1.073513958
 01/10  10:00:00,0.259782911,0.153388927,0.259807255,0.259714643,0.259677753
 01/10  11:00:00,0.027407898,0.039108465,0.02750973,0.02735337,0.027374922
 01/10  12:00:00,0.345988804,0.271623761,0.346161984,0.345935065,0.345970323
 01/10  13:00:00,0.102579216,0.119413742,0.10263174,0.102564901,0.102574857
 01/10  14:00:00,0.103506362,0.129279822,0.1035051,0.103507858,0.103508089
 01/10  15:00:00,0.106525231,0.15029038,0.106518228,0.106525359,0.106525757
 01/10  16:00:00,0.121230902,0.168028773,0.121215294,0.121235175,0.121233895
 01/10  17:00:00,0.128249282,0.156298167,0.12822133,0.128253073,0.128253192
 01/10  18:00:00,0.029347705,0.083574244,0.029331211,0.029348265,0.029350943
 01/10  19:00:00,0.038964781,0.076740762,0.038957159,0.038964741,0.038965204
 01/10  20:00:00,0.001904835,0,0.001904438,0.001904228,0.001905092
 01/10  21:00:00,6.50E-16,0,0,1.56E-15,2.09E-15
 01/10  22:00:00,2.53E-15,0,0,1.53E-15,3.04E-15
 01/10  23:00:00,1.31E-15,0.000571226,0,1.05E-15,3.62E-15
 01/10  24:00:00,6.65E-16,0,6.63E-16,1.06E-15,2.63E-15
 01/11  01:00:00,1.90E-15,0,0,2.00E-15,2.52E-15
 01/11  02:00:00,1.23E-15,0,0,2.46E-15,2.95E-15
 01/11  03:00:00,1.23E-15,0,0,1.97E-15,2.95E-15
 01/11  04:00:00,1.23E-15,0,6.15E-16,1.47E-15,1.97E-15
 01/11  05:00:00,6.16E-16,0,0,1.97E-15,2.46E-15
 01/11  06:00:00,0,0.041417297,0,0,0
 01/11  07:00:00,0.036408904,0.096322764,0.036409145,0.036409062,0.036409624
 01/11  08:00:00,0.044701182,0.085660124,0.044699392,0.044701326,0.044701896
 01/11  09:00:00,0.049705983,0.077260782,0.049703389,0.049706783,0.049708181
 01/11  10:00:00,0.067069569,0.099233483,0.067066402,0.067073826,0.067074057
 01/11  11:00:00,0.074263364,0.09967798,0.074257819,0.074268324,0.074268561
 01/11  12:00:00,0.061960349,0.072443929,0.061953395,0.061964515,0.061962508
 01/11  13:00:00,0.059202096,0.06872244,0.059192823,0.059206985,0.059204408
 01/11  14:00:00,0.059818399,0.064348631,0.05980643,0.059825529,0.059820804
 01/11  15:00:00,0.056951314,0.068701704,0.056937161,0.056956616,0.05695404
 01/11  16:00:00,0.080569929,0.098806665,0.080540402,0.080578218,0.080574105
 01/11  17:00:00,0.073786065,0.088064935,0.073756263,0.073790657,0.073789596
 01/11  18:00:00,0.059950633,0.070105013,0.059929969,0.059949706,0.059952293
 01/11  19:00:00,0.001074411,0.000662414,0.001073344,0.001074309,0.00107447
 01/11  20:00:00,4.23E-15,0,1.83E-15,3.36E-15,1.94E-15
 01/11  21:00:00,2.83E-15,0,2.26E-15,2.26E-15,9.10E-16
 01/11  22:00:00,3.19E-15,0,3.19E-15,3.41E-15,1.26E-15
 01/11  23:00:00,2.71E-15,0.000313663,2.68E-15,3.00E-15,8.60E-16
 01/11  24:00:00,2.34E-15,0,3.47E-15,1.38E-15,0
 01/12  01:00:00,3.556785068,3.484266755,3.55662078,3.556892259,3.556927718
 01/12  02:00:00,2.370310701,2.02911805,2.37006643,2.3704617,2.37048044
 01/12  03:00:00,3.279326041,1.871330709,3.279253005,3.279392794,3.279400313
 01/12  04:00:00,3.496227993,2.645565232,3.49619423,3.4965359,3.496537834
 01/12  05:00:00,2.44158279,1.860909801,2.441468923,2.44159921,2.441588664
 01/12  06:00:00,3.511655091,7.981665171,3.511485043,3.511779736,3.511827206
 01/12  07:00:00,2.387376379,1.975031239,2.387386695,2.38740216,2.387401803
 01/12  08:00:00,0.558534105,0.416336895,0.558569117,0.558481455,0.558487046
 01/12  09:00:00,0.892271146,0.796355801,0.892278863,0.892286944,0.892267075
 01/12  10:00:00,1.484814681,1.225414619,1.484826885,1.4848169,1.484826634
 01/12  11:00:00,0.717521055,0.676145843,0.717558702,0.717422058,0.717450292
 01/12  12:00:00,1.576785455,1.30301118,1.576796691,1.576840526,1.576828019
 01/12  13:00:00,1.234427729,0.97573724,1.234455307,1.234475521,1.234457474
 01/12  14:00:00,0.983502317,0.868795932,0.98350144,0.983468115,0.983485155
 01/12  15:00:00,1.509219481,1.311074189,1.509218237,1.509286078,1.509244853
 01/12  16:00:00,1.546556121,1.370356353,1.546561375,1.546655973,1.546590906
 01/12  17:00:00,1.069948457,0.957950059,1.069940429,1.06997546,1.069958182
 01/12  18:00:00,1.29153384,1.170293247,1.291423285,1.291602786,1.29155881
 01/12  19:00:00,0.880846704,0.839055101,0.880701118,0.880870455,0.880884993
 01/12  20:00:00,2.94040322,2.770866002,2.940096496,2.940400656,2.940461116
 01/12  21:00:00,1.824294998,1.635704123,1.82435319,1.824316495,1.824283815
 01/12  22:00:00,0.825499897,1.461565703,0.826150786,0.825479643,0.825344882
 01/12  23:00:00,2.641912447,2.237637339,2.641799049,2.64191428,2.641934927
 01/12  24:00:00,2.202858815,1.94844591,2.202893682,2.202860472,2.202865704
 01/13  01:00:00,3.515201254,2.822866421,3.515015327,3.515297203,3.515329394
 01/13  02:00:00,2.936392714,4.570328816,2.936214728,2.93643586,2.936492804
 01/13  03:00:00,3.63570807,1.73473393,3.634116888,3.636420511,3.635748393
 01/13  04:00:00,4.505726235,4.813088683,4.505511355,4.50570118,4.505723234
 01/13  05:00:00,2.966751037,4.059151436,2.966617036,2.966836451,2.966854983
 01/13  06:00:00,2.016555228,1.632893554,2.016512729,2.016785431,2.016681054
 01/13  07:00:00,2.240289162,1.931234368,2.240294256,2.240332046,2.240322974
 01/13  08:00:00,0.635665255,0.513642602,0.635671232,0.63564577,0.63564507
 01/13  09:00:00,0.699369368,0.580666223,0.699423084,0.699246739,0.699241827
