Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 05/03  07:00:00,26065764.36031035,0.0,26065764.36031035 
 05/03  08:00:00,41541080.76607835,0.0,41541080.76607835 
 05/03  09:00:00,43086776.00206073,0.0,43086776.00206073 
 05/03  10:00:00,45882297.25070379,0.0,45882297.25070378 
 05/03  11:00:00,48094212.69191254,0.0,48094212.69191253 
 05/03  12:00:00,46002955.45308916,0.0,46002955.45308916 
 05/03  13:00:00,50658377.62947987,0.0,50658377.62947987 
 05/03  14:00:00,51712330.55893412,0.0,51712330.55893412 
 05/03  15:00:00,52753136.19710303,0.0,52753136.19710302 
 05/03  16:00:00,53026018.81158042,0.0,53026018.811580408 
 05/03  17:00:00,37792368.22165161,0.0,37792368.22165161 
 05/03  18:00:00,20403091.58069133,0.0,20403091.58069133 
 05/03  19:00:00,14831231.289526338,0.0,14831231.289526336 
 05/03  20:00:00,16772092.40304857,0.0,16772092.403048568 
 05/03  21:00:00,16772092.40304857,0.0,16772092.403048566 
 05/03  22:00:00,14989427.405195989,0.0,14989427.405195989 
 05/03  23:00:00,13999057.961957103,0.0,13999057.961957103 
 05/03  24:00:00,17742654.45740009,0.0,17742654.457400085 
 05/04  01:00:00,17742654.45740009,0.0,17742654.457400085 
 05/04  02:00:00,17742654.45740009,0.0,17742654.457400085 
 05/04  03:00:00,17742654.45740009,0.0,17742654.457400085 
 05/04  04:00:00,17742654.45740009,0.0,17742654.457400085 
 05/04  05:00:00,16772223.900638979,0.0,16772223.900638974 
 05/04  06:00:00,20744845.82972982,0.0,20744845.82972982 
