Date/Time,Baseline - Electricity:Facility [J](Hourly),Baseline - Gas:Facility [J](Hourly) ,Calibrating - Electricity:Facility [J](Hourly),Calibrating - Gas:Facility [J](Hourly) ,Target - Electricity:Facility [J](Hourly),Target - Gas:Facility [J](Hourly) 
 01/11  04:00:00,34633452.83,1671261.512,35327271.32,1854038.384,34580257.57,1765129.409
 01/11  05:00:00,34633452.83,1671226.851,35327271.32,1853999.785,34580257.57,3458296.136
 01/11  06:00:00,38377838.01,20868881.17,39877222.68,33014283.41,40222475.95,29405603.52
 01/11  07:00:00,38377838.01,20782881.07,39877222.68,36289259.33,40222475.95,32636669.46
 01/11  08:00:00,29146082.01,20752341.13,30645466.68,35794584.35,30990719.95,33726034.82
 01/11  09:00:00,10682570.01,19709760.26,12181954.68,34226531.15,12527207.95,29710441.27
 01/11  10:00:00,10682570.01,16386761.47,12181954.68,30455315.23,12527207.95,24022470.21
 01/11  11:00:00,10682570.01,11349784.62,12181954.68,24738212.02,12527207.95,17699573.18
 01/11  12:00:00,10682570.01,6000385.701,12181954.68,18569742.3,12527207.95,7967520.165
 01/11  13:00:00,10682570.01,3594444.809,12181954.68,16288322.88,12527207.95,2244223.536
 01/11  14:00:00,10754570.95,1671296.13,12181954.68,12211313.71,12527207.95,3458694.816
 01/11  15:00:00,10756835.46,1671296.422,12181954.68,12318540.11,12527207.95,3458554.834
 01/11  16:00:00,10682570.01,3598580.792,12181954.68,15634982.91,12527207.95,6506470.212
 01/11  17:00:00,10682570.01,8278481.626,12181954.68,20447136.13,12527207.95,13382495.52
 01/11  18:00:00,38377838.01,14275721.38,39877222.68,26992686.28,40222475.95,21462633.22
 01/11  19:00:00,34633452.83,1671286.932,35327271.32,1854066.677,34580257.57,1765151.107
 01/11  20:00:00,34633452.83,1671239.931,35327271.32,1854014.324,34580257.57,1765187.937
 01/11  21:00:00,34633452.83,1671358.07,35327271.32,1854145.881,34580257.57,1765116.206
 01/11  22:00:00,34633452.83,1671426.017,35327271.32,1854221.656,34580257.57,3458637.151
 01/11  23:00:00,34633452.83,1671386.149,35327271.32,1854177.158,34580257.57,1765162.959
 01/11  24:00:00,34633452.83,3270679.144,35327271.32,3636250.608,34580257.57,3458227.901
 01/12  01:00:00,34633452.83,1671334.672,35327271.32,1854119.88,34580257.57,1765131.228
 01/12  02:00:00,34633452.83,1671322.582,35327271.32,1854106.41,34580257.57,1765233.063
 01/12  03:00:00,34633452.83,1671311.201,35327271.32,1854093.735,34580257.57,3458317.639
 01/12  04:00:00,34633452.83,1671306.415,35327271.32,1854088.407,34580257.57,1765239.159
 01/12  05:00:00,34633452.83,3270593.546,35327271.32,3636155.334,34580257.57,3458341.417
 01/12  06:00:00,45316022.84,53424237.75,47509226,83710736.29,47107465.53,128022652
 01/12  07:00:00,45316022.84,54718521.2,47509226,90392086.97,47107465.53,131295211.7
 01/12  08:00:00,63837006.18,38795487.48,68805483.26,76772799.16,65415667.82,94804070.53
 01/12  09:00:00,107435883.6,63865734.98,118610599.6,186192616,105272079.3,154190920
 01/12  10:00:00,107435883.6,55302208.5,118610599.6,174519387.5,105272079.3,111773141.6
 01/12  11:00:00,107435883.6,47865026.54,118610599.6,167871820.5,105272079.3,151145796.2
 01/12  12:00:00,107435883.6,44698561.88,118610599.6,165633689.3,105272079.3,95820225.26
 01/12  13:00:00,107435883.6,5199382.619,118610599.6,68687540.72,105272079.3,57674016.82
 01/12  14:00:00,107435883.6,36137143.23,118610599.6,155194803.9,105272079.3,129446474.2
 01/12  15:00:00,107435883.6,31325931.16,118610599.6,148868001.2,105272079.3,81404598.1
 01/12  16:00:00,107435883.6,30449518.77,118610599.6,147948067.5,105272079.3,78435016.89
 01/12  17:00:00,107435883.6,31106010.1,118610599.6,145416547.5,105272079.3,116466895
 01/12  18:00:00,88532861.81,4033193.527,94576005.67,35640773.31,87607411.28,51610550.17
 01/12  19:00:00,73580069.1,3271185.475,78037239.26,16338298.6,74647423.82,30074350.94
 01/12  20:00:00,73068762.18,15560100.46,78037239.26,39990422.28,74647423.82,73891936.85
 01/12  21:00:00,59192392.51,27926828.22,62773232.63,54756132.17,60877444.67,89030225.3
 01/12  22:00:00,59192392.51,28741407.38,62773232.63,56125583.18,60877444.67,90785874.98
 01/12  23:00:00,45316022.84,34017919.33,47509226,58972660.46,47107465.53,98962587.93
 01/12  24:00:00,38377838.01,38904538.7,39877222.68,64520337.91,40222475.95,102858158.8
 01/13  01:00:00,34633452.83,3270762.002,35327271.32,3636356.745,34580257.57,3458273.504
 01/13  02:00:00,34633452.83,1671321.209,35327271.32,1854104.759,34580257.57,1765195.554
 01/13  03:00:00,34633452.83,1671293.895,35327271.32,1854074.338,34580257.57,1765134.714
 01/13  04:00:00,34633452.83,1671265.999,35327271.32,1854043.265,34580257.57,3458384.124
 01/13  05:00:00,34633452.83,1671237.629,35327271.32,1854011.663,34580257.57,1765098.125
 01/13  06:00:00,45316022.84,46670184.94,47509226,73975271.48,47107465.53,118026761.7
 01/13  07:00:00,45316022.84,46492428.09,47509226,78214176.62,47107465.53,116777155.7
 01/13  08:00:00,63837006.18,28186611.62,68805483.26,60450666.65,65415667.82,80467872.87
 01/13  09:00:00,107435883.6,47863022.61,118610599.6,151943443.1,105272079.3,122849549
 01/13  10:00:00,107435883.6,36881680.35,118610599.6,141026558.3,105272079.3,85910761.58
 01/13  11:00:00,107435883.6,30033693.6,118610599.6,134527804,105272079.3,115133962.9
 01/13  12:00:00,107435883.6,14897073.51,118610599.6,112512986.8,105272079.3,51079294.75
 01/13  13:00:00,114141657.8,4873638.397,118610599.6,17709252.07,106309054.6,10768506.72
 01/13  14:00:00,109482351.5,4872749.033,118610599.6,85167900.07,105272079.3,54438718.23
 01/13  15:00:00,110258190,3271808.26,118610599.6,79002118.97,105272079.3,17686837.02
 01/13  16:00:00,111822123.9,3940644.52,118610599.6,64791459.33,105858188.6,5154699.054
 01/13  17:00:00,111448203.7,4203341.384,118610599.6,65654256.03,105272079.3,37533740.99
 01/13  18:00:00,89412390.88,3271697.356,91302631.35,5574445.847,83464564.7,12512380.47
 01/13  19:00:00,77594515.88,3271292.586,80812608.92,3636934.897,74964788.85,5969679.917
 01/13  20:00:00,73536787.92,2659348.526,78086325.22,17770311.9,74647423.82,46433989.3
 01/13  21:00:00,59192392.51,15752024.56,62773232.63,36198353.02,60877444.67,67713458.53
 01/13  22:00:00,59192392.51,20198889.04,62773232.63,42900220.38,60877444.67,78815357.34
 01/13  23:00:00,45316022.84,28117498.57,47509226,49133937.23,47107465.53,88200479.24
 01/13  24:00:00,38377838.01,34728420.48,39877222.68,57058172.49,40222475.95,98538266.05
 01/14  01:00:00,34633452.83,3270650.546,35327271.32,3636239.717,34580257.57,1765187.273
 01/14  02:00:00,34633452.83,1671384.256,35327271.32,1854175.306,34580257.57,1765127.189
 01/14  03:00:00,34633452.83,1671372.437,35327271.32,1854162.162,34580257.57,3458401.422
 01/14  04:00:00,34633452.83,1671355.434,35327271.32,1854143.23,34580257.57,1765118.672
 01/14  05:00:00,34633452.83,1671319.869,35327271.32,1854103.61,34580257.57,3458330.985
 01/14  06:00:00,45316022.84,42603675.73,47509226,65297031.42,47107465.53,104887930.1
 01/14  07:00:00,45316022.84,39479083.08,47509226,63575711.38,47107465.53,94582765.28
 01/14  08:00:00,63837006.18,19540338.24,68805483.26,43422748.99,65415667.82,60424418.09
 01/14  09:00:00,107435883.6,22879671.42,118610599.6,96511055.95,105272079.3,74007402.23
 01/14  10:00:00,108015405.7,7100627.746,118610599.6,65623869.46,105272079.3,27496769.29
 01/14  11:00:00,111671678.8,3272189.221,118610599.6,33790496.9,105311410.6,18535740.44
 01/14  12:00:00,115650615,4872677.519,119165548.6,10164272.68,113406738.4,6853108.141
 01/14  13:00:00,121139800.5,3272864.398,130834733.3,3638686.787,119578833.9,8549263.573
 01/14  14:00:00,119997585.4,4873060.656,124788131,5421783.449,117031415.6,8548629.011
 01/14  15:00:00,120576787.9,3271509.583,125122563.7,3637177.48,120166993.4,6849244.638
 01/14  16:00:00,120284542.4,3271740.172,123719483.6,3637001.837,119479613,5155559.856
 01/14  17:00:00,119913982.3,4872255.909,123001687.6,5420870.786,115670293.7,6852049.128
 01/14  18:00:00,95452066.41,3271480.24,101844954.5,3637144.172,93821524.72,5154563.244
 01/14  19:00:00,83370714.41,1671578.225,89417834.36,1854391.9,84587221.95,3459351.706
 01/14  20:00:00,80794964.65,3270892.006,85404883.35,3636488.955,79498193.84,3459214.245
 01/14  21:00:00,64763120.25,1671422.4,67419812.01,1854218.237,62995510.86,3459231.649
 01/14  22:00:00,64204203.31,1671322.518,66704811.94,1854106.7,62370909.16,3458541.657
 01/14  23:00:00,49065941.04,1671193.351,50260091.93,1853962.78,47220260.72,1765135.96
 01/14  24:00:00,40961610.21,1671213.066,40872358.13,1853984.728,40222475.95,9387659.753
 01/15  01:00:00,34633452.83,1671247.101,35327271.32,1854022.62,34580257.57,3458293.585
 01/15  02:00:00,34633452.83,1671274.185,35327271.32,1854052.741,34580257.57,1765104.317
 01/15  03:00:00,34633452.83,1671292.052,35327271.32,1854072.592,34580257.57,1765114.835
 01/15  04:00:00,34633452.83,1671179.245,35327271.32,1853947.087,34580257.57,1765124.942
 01/15  05:00:00,34633452.83,1671202.675,35327271.32,1853973.162,34580257.57,1765133.47
 01/15  06:00:00,47647145.37,3270534.205,47706087.02,3636204.461,47107465.53,16090059.9
 01/15  07:00:00,47170907.38,1671317.767,47509226,5337041.575,47107465.53,16590247.74
 01/15  08:00:00,69336098.67,1671554.889,72233139.85,1854365.948,68354878.5,5659305.89
 01/15  09:00:00,112905039.9,3271754.695,118610599.6,37450660.6,110841824.9,5155564.011
 01/15  10:00:00,114643472.1,4871812.137,118610599.6,35999801.79,105272079.3,10711114.52
 01/15  11:00:00,115762652.9,3271712.744,118610599.6,32785641.9,107443501.4,6850318.169
 01/15  12:00:00,116547024.9,3272138.661,118610599.6,29795726.83,110661288,6851534.002
 01/15  13:00:00,122011025.5,4873725.537,127826370.9,5422509.368,117909946.4,8548606.418
 01/15  14:00:00,116977332,4873355.594,118610599.6,33821796.92,108376113.7,8549047.787
 01/15  15:00:00,117353643.9,3271841.141,118610599.6,27198552.98,111711106.9,6849406.866
 01/15  16:00:00,116813745.6,4871294.928,118610599.6,30475791.54,109017274,5154978.216
 01/15  17:00:00,115170483.3,3272123.364,118610599.6,40690321.52,109292472.5,6851133.295
 01/15  18:00:00,93577866.39,3271363.431,97057716.47,3637015.72,86609156.8,5153729.582
 01/15  19:00:00,82380107.8,3271256.538,87202357.72,3636895.835,82105629.37,3459662.427
 01/15  20:00:00,78625812.02,1671426.765,81222741.33,1854223.293,75081616.58,10562732.82
