Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 12/24  01:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  02:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  03:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  04:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  05:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  06:00:00,0,0,0,0,0,0,0,0,0,0
 12/24  07:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/24  08:00:00,3.673471388,14.82373872,3.392729089,2.221698495,2.24626539,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 12/24  09:00:00,0.924145927,2.994538529,1.31977349,0.530948207,1.083862303,9.392266591,33.74691208,9.392266591,5.877086266,5.877086266
 12/24  10:00:00,8.997988642,26.12833959,11.97562596,5.52506952,6.989158755,17.18159551,61.73438408,17.18159551,10.75115554,10.75115554
 12/24  11:00:00,6.182293903,12.9495192,7.248153994,3.7762429,4.545038936,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462
 12/24  12:00:00,0.941813692,0.169118023,0.681077088,0.562441133,0.59347394,13.77530914,49.49541645,13.77530914,8.619717015,8.619717015
 12/24  13:00:00,0,0,0,0,0,8.139956197,29.2472944,8.139956197,5.093469644,5.093469644
 12/24  14:00:00,0.285473656,0,0.147830324,0.243464905,0.207913426,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462
 12/24  15:00:00,0,0,0,0,0,13.77532667,49.49547944,13.77532667,8.619727986,8.619727986
 12/24  16:00:00,0,0,0,0,0,15.42837148,55.43495713,15.42837148,9.654098854,9.654098854
 12/24  17:00:00,0,0,0,0,0,13.14918024,47.2457021,13.14918024,8.22792516,8.22792516
 12/24  18:00:00,0,0,0,0,0,8.139956197,29.2472944,8.139956197,5.093469644,5.093469644
 12/24  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/24  20:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/24  21:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/24  22:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/24  23:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/24  24:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
