Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/08  15:00:00,1.194275238,1.194245925,1.194263434,1.19427829,1.194276755
 01/08  16:00:00,1.176645778,1.176645589,1.17664256,1.17664397,1.176645872
 01/08  17:00:00,1.196119185,1.196121649,1.196107542,1.196123657,1.196121622
 01/08  18:00:00,1.208444729,1.208410325,1.208445663,1.20843771,1.20844383
 01/08  19:00:00,0.904120478,0.903187758,0.903768065,0.904062206,0.904069407
 01/08  20:00:00,2.771822905,2.770725707,2.771437549,2.7717658,2.771774833
 01/08  21:00:00,2.649405154,2.649067369,2.649143297,2.649339778,2.64933286
 01/08  22:00:00,2.397920224,2.397502309,2.397583643,2.397834476,2.397825472
 01/08  23:00:00,2.711324043,2.711381511,2.711372706,2.711336326,2.711337301
 01/08  24:00:00,2.417852259,2.417852408,2.417847789,2.417850491,2.417850198
 01/09  01:00:00,4.084831231,4.086761598,4.086267185,4.085180341,4.085200549
 01/09  02:00:00,3.696220001,3.696530233,3.696437245,3.696271776,3.6962728
 01/09  03:00:00,6.958161641,6.959013309,6.958751715,6.958303734,6.958306226
 01/09  04:00:00,6.538816955,6.538916252,6.538882448,6.538832546,6.538832507
 01/09  05:00:00,4.989303294,4.988944505,4.989058613,4.989243051,4.989243215
 01/09  06:00:00,3.045930214,3.045747142,3.045744362,3.045879696,3.045878495
 01/09  07:00:00,2.372398952,2.372522989,2.372454036,2.372409065,2.372408503
 01/09  08:00:00,0.859970037,0.860092572,0.85998538,0.859964481,0.859975307
 01/09  09:00:00,1.092686615,1.09277517,1.092705296,1.092685111,1.092690914
 01/09  10:00:00,1.160186111,1.160208862,1.160193223,1.160185636,1.16018799
