Uncalibrated_Electricity_J,Uncalibrated_Gas_J,Target_Electricity_J,Target_Gas_J,,,,,,,,
57714396.78,0,58900113.74,0,-1185716.96,0,,,,,,
52235734.81,0,53447276.64,0,-1211541.83,0,,,,,,
47338425.55,0,48410570.72,0,-1072145.17,0,,,,,,
46174254.59,0,46547607.02,0,-373352.43,0,,,,,,
41986889.31,0,42068842.46,0,-81953.15,0,,,,,,
41341367.5,0,41410650.13,0,-69282.63,0,,,,,,
41470645.34,0,41547243.01,0,-76597.67,0,,,,,,
44783923.93,0,44867528.3,0,-83604.37,0,,,,,,
42502643.14,0,42348690.94,0,153952.2,0,,,,,,
35091720.24,0,34590301.23,0,501419.01,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
52673603.29,10284244.06,49648517.93,7510061.97,3025085.36,2774182.09,,,,,,
50965621.6,4833826.651,50826513.21,5000853.788,139108.39,-167027.137,,,,,,
50426458.08,0,51255572.39,0,-829114.31,0,,,,,,
47648480.81,0,48674692.8,0,-1026211.99,0,,,,,,
46319637.17,0,47324914.36,0,-1005277.19,0,,,,,,
45102379.32,0,45982861.8,0,-880482.48,0,,,,,,
46552339.68,0,46778796.65,0,-226456.97,0,,,,,,
43814460.97,0,43880434.08,0,-65973.11,0,,,,,,
43881557.01,0,43989340.46,0,-107783.45,0,,,,,,
44410257.96,0,44644899.57,0,-234641.61,0,,,,,,
49908445.28,0,50218064.45,0,-309619.17,0,,,,,,
52615185.59,1859896.85,52367987.5,1680062.732,247198.09,179834.118,,,,,,
47384770.7,0,46587646.41,0,797124.29,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
56706309.22,104147355.8,56768030.37,95589871.76,-61721.15,8557484.04,,,,,,
56520548.34,73175264.9,56520548.34,73123119.69,0,52145.21,,,,,,
69123620.22,13912803.41,68965550.41,17275030.88,158069.81,-3362227.47,,,,,,
62101884.38,3078514.327,63007998.77,3903423.103,-906114.39,-824908.776,,,,,,
55509165.35,104264.0192,56470619.55,372740.2666,-961454.2,-268476.2474,,,,,,
51857473.89,0,52532015.32,0,-674541.43,0,,,,,,
53883444.19,183097.2194,54208693.23,47093.90091,-325249.04,136003.3185,,,,,,
49076674.57,0,49278153.45,0,-201478.88,0,,,,,,
49508128.39,0,49750446.75,0,-242318.36,0,,,,,,
