Target_Electricity_J,Target_Gas_J,Uncalibrated_Electricity_J,Uncalibrated_Gas_J
7894969.932,0,8034191.336,0
7941376.467,0,8081823.491,0
7983224.435,0,8124793.621,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
10123275.91,9872590.519,10246319.67,11018880.39
10103718.98,9067836.223,10485041.66,9535067.771
10783306.29,4182477.889,10868723.87,5577030.914
10579995.28,3064838.189,10756864.48,3997000.234
10464743.85,2193691.204,10639687.99,3158059.101
10337601.87,1822923.67,10564332.93,2602566.741
10749240.98,3931593.838,10830546.38,3982429.628
10776070.44,3678984.559,10848218.03,3712648.11
9651651.404,3414406.389,9717061.726,3432557.707
9519415.832,3202006.676,9579984.595,3206541.924
9440335.552,3017114.269,9495561.474,3009501.638
9371775.986,2854552.861,9422167.044,2835955.58
11139433.07,0,11012675.32,0
10888928.92,0,10750757.16,0
10684002.61,0,10539304.03,0
10500632.63,0,10351339.99,0
10333601.1,0,10180260.18,0
10179559.11,0,10021192.68,0
10045011.06,0,9879700.434,0
9917277.857,0,9745828.859,0
9797826.27,0,9620738.648,0
9683781.994,0,9501477.009,0
9575042.74,0,9387883.652,0
9470948.209,0,9279250.792,0
9377347.483,0,9193281.048,0
9285642.332,0,9109426.17,0
9195803.705,0,9027634.916,0
9120382.318,0,8960481.261,0
9048612.514,0,8897158.064,0
8979472.249,0,8836624.43,0
8908780.596,0,8765345.788,0
8840811.955,0,8696851.075,0
8775743.056,0,8631307.715,0
8713917.06,0,8569042.168,0
8654606.206,0,8509488.63,0
8597249.791,0,8451852.867,0
9280132.997,308554.7443,9234102.325,281833.0805
9248441.708,256201.0595,9201013.839,228311.588
9215113.38,199226.5304,9166640.429,170475.3083
9180263.975,152431.2923,9130885.552,122915.6292
9142197.144,107148.307,9092004.212,76939.67754
9108996.409,62507.75586,9058073.19,31659.57803
8181970.261,0,8134388.775,0
8172553.136,0,8104358.136,0
8251935.038,0,8088419.493,0
8055921.071,0,8060531.003,0
8098589.343,0,8041395.672,0
8074852.628,0,7883201.539,0
8088542.148,0,8124999.449,0
7955762.743,0,8029184.175,0
8213112.104,0,7924154.562,0
8127633.007,0,8192964.593,0
8191705.426,0,8108847.192,0
8226728.634,0,8175319.652,0
8239609.803,0,8107409.596,0
8255740.459,0,8240032.434,0
8275118.175,0,8251821.786,0
8288323.849,0,8166776.265,0
8300489.862,0,8244141.537,0
8315621.445,0,8259647.971,0
8400953.86,0,8344273.112,0
8489563.618,0,8432149.083,0
9599864.827,0,9541768.889,0
9692015.118,0,9633221.675,0
9782463.911,0,9722980.463,0
9874156.835,0,9814024.712,0
9231992.406,1365601.09,9276554.537,1392393.781
9310597.193,1474656.786,9357382.178,1503007.744
9370187.141,1570179.569,9418088.619,1599421.433
9426129.814,1662487.19,9474976.008,1692434.307
9479703.671,1752244.414,9529547.548,1782776.399
9531436.979,1840019.036,9581492.137,1871066.281
8343560.683,0,8483595.706,0
8471887.888,0,8615250.175,0
8580502.599,0,8725610.104,0
8683873.82,0,8600639.6,321168.4736
8782303.816,0,9045083.399,0
8876144.929,0,8966368.571,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
