Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/09  08:00:00,65415667.82346502,85146720.40735103 
 01/09  09:00:00,105272079.3175783,103974818.88582698 
 01/09  10:00:00,105272079.3175783,127141980.52305687 
 01/09  11:00:00,105272079.3175783,118558231.2089267 
 01/09  12:00:00,105272079.3175783,121030858.79738294 
 01/09  13:00:00,105272079.3175783,36193730.72205828 
 01/09  14:00:00,105272079.3175783,93989754.98216787 
 01/09  15:00:00,105272079.3175783,101246072.4518218 
 01/09  16:00:00,105272079.3175783,53756041.37801292 
 01/09  17:00:00,105272079.3175783,77030614.3029387 
 01/09  18:00:00,87607411.2815028,81449314.81594713 
 01/09  19:00:00,74647423.82346502,24579942.9277363 
 01/09  20:00:00,74647423.82346502,69266344.28992504 
 01/09  21:00:00,60877444.67444614,86851920.81429976 
 01/09  22:00:00,60877444.67444614,85527211.11789938 
 01/09  23:00:00,47107465.52542727,91281445.86603564 
 01/09  24:00:00,40222475.95091783,94660515.80163175 
 01/10  01:00:00,34580257.57450944,1765206.645006471 
 01/10  02:00:00,34580257.57450944,3458327.770613205 
 01/10  03:00:00,34580257.57450944,1765125.310647624 
 01/10  04:00:00,34580257.57450944,1765189.3577172009 
 01/10  05:00:00,34580257.57450944,3458275.4171923205 
 01/10  06:00:00,40222475.95091783,22246944.21656819 
 01/10  07:00:00,47107465.52542727,23570830.64141999 
 01/10  08:00:00,37875709.52542727,19906333.95099725 
 01/10  09:00:00,46952155.82346503,24022626.400404268 
 01/10  10:00:00,46952155.82346503,15574987.003207328 
 01/10  11:00:00,47007774.79089338,5148615.135907252 
 01/10  12:00:00,49152256.29990506,5154056.980711575 
 01/10  13:00:00,32752844.000237317,3459426.912645499 
 01/10  14:00:00,32985681.67956503,5153584.686760351 
 01/10  15:00:00,32305763.789336169,3459332.612310231 
 01/10  16:00:00,30817929.12722022,3459158.71149591 
 01/10  17:00:00,29137638.19719113,3459314.996040606 
 01/10  18:00:00,40891526.26315376,1765196.7246410964 
 01/10  19:00:00,40222475.95091783,6708276.541796132 
 01/10  20:00:00,34580257.57450944,1765207.044252666 
 01/10  21:00:00,34580257.57450944,3458411.9370979845 
 01/10  22:00:00,34580257.57450944,1765367.7090517679 
 01/10  23:00:00,34580257.57450944,3458382.826813913 
 01/10  24:00:00,34580257.57450944,1765109.5657938116 
 01/11  01:00:00,34580257.57450944,1765162.6712604694 
 01/11  02:00:00,34580257.57450944,3458227.179003231 
 01/11  03:00:00,34580257.57450944,1765196.7166923327 
 01/11  04:00:00,34580257.57450944,1765129.4092889969 
 01/11  05:00:00,34580257.57450944,3458296.135712715 
 01/11  06:00:00,40222475.95091783,29405603.51881795 
 01/11  07:00:00,40222475.95091783,32636669.456329697 
 01/11  08:00:00,30990719.950917834,33726034.82243246 
 01/11  09:00:00,12527207.95091783,29710441.269941383 
 01/11  10:00:00,12527207.95091783,24022470.213910529 
 01/11  11:00:00,12527207.95091783,17699573.17996382 
