Date/Time,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/03  15:00:00,0.09936316456672162,0.13990768857862347,0.0994585328812923,0.0993677966407137,0.09935862709613687,26139885.305712224,1849337.2616081206 
 01/03  16:00:00,0.10683033659940201,0.1506805929131195,0.10692795523625119,0.10685132418664346,0.10682801080096712,26044364.545210184,3848116.5822940657 
 01/03  17:00:00,0.09824385906888851,0.1388082722474524,0.09832622330162676,0.09826712800565245,0.09824221436237594,26044364.545210184,7249170.238613844 
 01/03  18:00:00,0.008822217046812886,0.08434903633652012,0.0088270819836403,0.00882448094606334,0.008823277096407683,39863262.87865018,14835071.410485808 
 01/03  19:00:00,0.038341000184256669,0.07976126379334815,0.038366730037128728,0.0383432623735428,0.038340319508184287,39863262.87865018,20059401.801251584 
 01/03  20:00:00,0.0017607974420007552,0.0,0.0017604693292745417,0.0017616621219213524,0.0017607890232984845,34633452.83331995,1849152.829529364 
 01/03  21:00:00,3.684203279490862e-15,0.0,7.343779343357306e-16,0.0,1.1722752155521974e-15,34633452.83331995,1848991.4101221164 
 01/03  22:00:00,2.695052663325304e-15,0.0,0.0,0.0,1.069653456280443e-15,34633452.83331995,3626340.095820277 
 01/03  23:00:00,3.3762138120909645e-15,0.0006005009189688324,6.905132687149343e-16,1.0697812317009019e-15,5.305557180488367e-16,34633452.83331995,1848966.8657418304 
 01/03  24:00:00,2.522089938691929e-15,0.0,0.0,0.0,2.4904584661959067e-15,34633452.83331995,1848996.9803111933 
 01/04  01:00:00,2.8522891829497339e-15,0.0,5.698301658199163e-16,9.121202104837714e-16,9.140178313631854e-16,34633452.83331995,1849160.7275838019 
